Andenes ;Arresten pub (Breiflabben brygghus) ;Prinsens gt.6;http://www.breiflabben.no
Bergen ;Henrik øl og vinstove ;Engen 10;http://www.ve.no/Index_henrik.html
Bergen ;Kontoret ;Kong Olav Vs plass 4;http://www.dickensbergen.no/
Bergen ;Naboen Pub & Restaurant ;Sigurdsgate 4;http://www.grannen.no/no/index.html
Kristiansand ;Patricks Pub & Restaurant ;Markens Gate 10;http://www.patrickspub.no/
Levanger ;Oskars ;Kirkegata 45;http://www.oskars.no/
Nord-Trøndelag ;Harøya (Qdulla Øl) ;Harøya;http://www.snasaseter.no/index.php?option=com_content&view=article&id=25&Itemid=19
Oslo ;Bar & Cigar ;C J Hambros plass 2;
Oslo ;Beer Palace ;Holmens Gate 3, Aker Brygge;http://www.beerpalace.no/
Oslo ;Dr. Jekylls ;Klingenberggata 4;http://www.jekylls.no/
Oslo ;Håndverkerstuene ;Rosenkrantzgate 7;http://haandverkerstuene.no/
Oslo ;Lorry ;Parkveien 12;http://www.lorry.no/
Oslo ;Olympen ;Grønlandsleiret 15;http://www.olympen.no/
Oslo ;Parkteateret ;Olav Ryes Plass 11;http://www.parkteateret.no/
Oslo ;Tilt ;Badstugata 2;http://www.tiltoslo.no/
Sandnes ;Melkebaren ;Industrigata 1;http://www.melkebaren.no/
Skorovas ;Skjenkestova ;Skorovas;http://www.skorovasmat.no/index.html
Stavanger ;Cardinal ;Skagen 21;http://www.cardinal.no/
Tautra ;Klostergården ;Klostergården;http://www.gardsmat.net/produsenter/klostergaarden/
Tromsø ;Blå Rock Cafe ;Strandgata 14;http://www.blarock.no/
Tromsø ;Vertshuset Skarven ;Strandtorget 1;http://www.skarven.no/no/
Trondheim ;Den gode nabo ;Øvre Bakklandet 60;http://www.dengodenabo.com/
Trondheim ;Kafé Filter ;Ilavolden 32B;http://web.mac.com/ketil.hustad/Filter/Nyheter/Nyheter.html
Trondheim ;Trondheim Mikrobryggeri ;Prinsensgt. 39;http://tmb.no/index.php
Tønsberg ;Bryggeriet Pub ;Nedre Langgate 28 B;http://www.bryggeriet.tv/
Oslo ;Cafe Fiasco;Schweigaardsgate 4, ;http://www.fiasco.no/info/
Oslo ;Grünerløkka Brygghus;Thorvald Meyersgate 30B;http://www.brygghus.no
Oslo ;Schouskjelleren;;
Oslo ;Nighthawk Diner;;http://www.nighthawkdiner.com/
Oslo ;Oslo Mikrobryggeri;;http://omb.no/index.php
Oslo ;Laundromat;;http://www.laundromat.no/
Oslo ;Colonel Mustard;;http://www.colonelmustard.no/
Oslo ;Akersberget;;http://www.akersberget.no/
Oslo ;Amundsen Bryggeri & Spiseri;;http://amundsenbryggeri.no/
Oslo ;Eik;Universitetsgata 11;www.restauranteik.no
Oslo ;Whisky Bar;Rådhusgata 28;
